PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,GoalX,GoalY,GoalZ
-4.74E-08,2.167668,3.52E-08,-0.072769,0.414725,57.282101,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.150424,0.204834,57.391834,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.227594,0.343429,57.460079,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.402794,0.425106,57.422794,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.373556,0.336006,57.484383,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.535558,0.614616,57.21056,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.400114,0.515884,57.098812,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.50784,0.328386,57.227634,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.531338,0.635628,57.025826,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.41495,0.425568,57.215847,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.787671,0.975522,56.706913,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.973229,1.321882,56.278732,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.669349,0.940244,56.578087,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.510463,0.692578,56.723942,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.168697,0.434661,57.025234,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.286705,0.276254,57.181957,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.246857,0.174094,57.407688,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.5041,0.696,57.059441,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.369993,0.714749,57.177715,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.279811,0.548934,57.277725,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.275192,0.598843,57.363426,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.474637,0.812497,57.207031,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.448652,0.560767,57.395016,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.463105,0.473467,57.572758,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.349078,0.337138,57.733883,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.094657,0.323026,57.953823,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.450452,0.773441,57.556278,4.77E-06,0.000257261,3.000002
