Time,Lat,Lon,Roll,Pitch,Yaw,Hight,PWM1,PWM2
0,2,0,-0.16085,0.649752,21.855591,0,0,3
0,2,0,-0.357931,0.333014,22.62701,0,0,3
0,2,0,0.609813,0.739494,22.101736,0,0,3
0,2,0,-0.260179,0.360421,22.566034,0,0,3
0,2,0,0.662495,0.720686,22.702972,0,0,3
0,2,0,-0.119541,0.232921,23.093451,0,0,3
0,2,0,0.112296,0.106194,23.710209,0,0,3
0,2,0,0.965391,0.611089,22.991747,0,0,3
0,2,0,0.219583,1.029316,22.733015,0,0,3
0,2,0,0.627436,0.275322,22.518238,0,0,3
0,2,0,-0.273714,0.616304,22.737743,0,0,3
0,2,0,0.65813,0.312829,22.108555,0,0,3
0,2,0,-0.088816,1.08605,21.859331,0,0,3
0,2,0,0.68892,1.4791,21.187893,0,0,3
0,2,0,0.742452,0.392896,20.79718,0,0,3
0,2,0,-0.008984,-0.150831,20.464043,0,0,3
0,2,0,-0.149699,0.892538,20.474037,0,0,3
0,2,0,-0.576563,-0.228764,20.553509,0,0,3
0,2,0,0.568432,-0.058615,20.296141,0,0,3
0,2,0,-0.426477,-0.191925,20.764624,0,0,3
0,2,0,0.08804,0.816954,20.882421,0,0,3
0,2,0,0.205645,0.448697,20.163183,0,0,3
0,2,0,-0.277314,1.046887,20.510866,0,0,3
0,2,0,0.765001,1.091565,19.923042,0,0,3
0,2,0,-0.184784,0.450791,20.178299,0,0,3
0,2,0,0.708355,0.320754,19.692539,0,0,3
0,2,0,-0.220117,0.522549,19.989147,0,0,3
0,2,0,0.775905,0.610712,19.302145,0,0,3
0,2,0,0.001075,-0.082146,19.573477,0,0,3
0,2,0,0.820398,0.570956,19.10763,0,0,3
0,2,0,-0.272037,0.739748,18.7013,0,0,3
0,2,0,0.549032,0.744315,18.03496,0,0,3
0,2,0,-0.605088,0.67693,18.246471,0,0,3
0,2,0,0.475905,0.787341,17.672211,0,0,3
0,2,0,-0.371041,0.611928,16.964533,0,0,3
0,2,0,0.730151,0.17196,16.820324,0,0,3
0,2,0,-0.329899,0.392811,17.237242,0,0,3
0,2,0,0.752134,0.426569,16.665813,0,0,3
0,2,0,-0.300327,0.501678,17.185585,0,0,3
0,2,0,0.698444,0.563778,16.552778,0,0,3
0,2,0,-0.315878,0.42151,17.137999,0,0,3
0,2,0,0.409611,-0.089979,17.485573,0,0,3
0,2,0,-0.086681,0.91502,17.55909,0,0,3
0,2,0,0.518781,0.425962,16.675751,0,0,3
0,2,0,1.164786,0.784994,15.714368,0,0,3
0,2,0,0.035929,0.372314,15.86707,0,0,3
0,2,0,-1.097026,0.315649,16.21628,0,0,3
0,2,0,0.047743,0.211517,15.809166,0,0,3
0,2,0,-1.01277,0.507016,16.234261,0,0,3
0,2,0,0.098166,0.885779,15.901772,0,0,3
0,2,0,0.758834,-0.059735,15.76839,0,0,3
0,2,0,1.242605,0.929219,15.26167,0,0,3
0,2,0,0.096558,0.532209,15.17246,0,0,3
0,2,0,0.335624,1.106002,14.124932,0,0,3
0,2,0,-0.258867,0.292111,14.774679,0,0,3
0,2,0,0.884396,0.434571,14.400476,0,0,3
0,2,0,0.499782,1.153186,13.546529,0,0,3
0,2,0,-0.052857,0.342539,14.183494,0,0,3
0,2,0,-0.325366,0.804532,15.054797,0,0,3
0,2,0,0.643766,0.108719,14.882894,0,0,3
0,2,0,0.711569,1.113818,14.219263,0,0,3
0,2,0,-0.253628,0.40077,14.334253,0,0,3
0,2,0,-0.876337,0.341214,15.24649,0,0,3
0,2,0,0.195615,0.566306,14.694329,0,0,3
0,2,0,0.193651,-0.073289,15.353119,0,0,3
0,2,0,0.12946,1.059818,15.3922,0,0,3
0,2,0,0.375413,0.081837,14.723429,0,0,3
0,2,0,-0.404421,0.878907,14.820164,0,0,3
0,2,0,0.539688,0.288094,14.34226,0,0,3
0,2,0,-0.479561,-0.333876,14.461814,0,0,3
0,2,0,-0.148318,0.775525,14.184462,0,0,3
0,2,0,1.006123,0.766177,13.830804,0,0,3
0,2,0,-0.178457,0.846158,13.605689,0,0,3
0,2,0,0.865265,0.638947,13.000223,0,0,3
0,2,0,0.24421,0.243728,13.872525,0,0,3
